category,field,step7,step8,full_slate,enrichment,tickets,gap
Model projection / edge / rank,rank_read_score,In-score,No,Yes,Derived,Yes,Unified read score; not raw step7 formula dump
Defense / matchup,def_tier,Yes,Yes,Yes,Derived,Yes,MLB/WNBA/NHL 100% FS 06-02; Tennis N/A
Defense / matchup,opponent_def_rank,Yes,Partial,Yes,Passthrough,Partial,MLB 99% WNBA 96% NHL 100%; Tennis 0%
Defense / matchup,def_rank / def_rank_signal,Yes,In-score,Partial,No,No,In step7 rank; FS Def Rank column exists
Defense / matchup,def_matchup_signal,In-score,No,Yes,Derived,Yes,Direction-aware; enrichment + tickets
Defense / matchup,opp_def_rating / opp_pts_allowed,Yes,Partial,Partial,No,No,In step7 files; not first-class on FS
Defense / matchup,top3_def_context,Yes,In-score,No,No,No,WNBA step7 rank input; NOT on FS — do not over-weight usage_role as proxy
Defense / matchup,top3_under_context,Yes,In-score,No,No,No,WNBA step7 only
Defense / matchup,positional_matchup_tier,Yes,Partial,No,No,No,NBA family; export when NBA returns to slate
Usage / minutes / pace,minutes_tier,Yes,Partial,Yes,Passthrough,Partial,FS Min Tier; basketball sports
Usage / minutes / pace,usage_role,Yes,Partial,Yes,Passthrough,Partial,On FS; WNBA usage_boost empty — do not over-weight role alone
Usage / minutes / pace,usage_boost,Yes,Yes,Yes,Passthrough,No,WNBA closed 06-04 (616 nonzero FS); MLB N/A
Usage / minutes / pace,usage_boost_proj / reason,Yes,Yes,Partial,Passthrough,No,WNBA step8 export; verify per slate
Usage / minutes / pace,pace_tier,Yes,Partial,Yes,Passthrough,Partial,On FS; verify sport-native values
Usage / minutes / pace,game_pace / team_pace,Yes,Partial,No,No,No,In step7; not on FS read sheet
Volatility / distribution,distribution_std,Yes,Yes,Yes,Derived,Yes,Step8 all active sports; Tennis ~42% fill — provisional confidence
Volatility / distribution,distribution_n,Yes,Yes,Partial,Derived,Partial,Step8 export; tickets partial
Volatility / distribution,high_variance_role,Yes,Passthrough,No,No,No,Step7 flag; not on read export
Volatility / distribution,consistency_score,In-score,No,Yes,Derived,Yes,From L5/L10 side rates in enrichment
Volatility / distribution,std_norm,No,No,Partial,Derived,Partial,Feeds confidence_score
Probabilities,hit_prob_over,In-score,No,Yes,Derived,Yes,Tier 1 closed
Probabilities,hit_prob_under,In-score,No,Yes,Derived,Yes,
Probabilities,hit_prob_selected,In-score,No,Yes,Derived,Yes,
Probabilities,hit_prob_actionable,In-score,No,Yes,Derived,Yes,Pick-type rules enforced (Goblin/Demon OVER)
Probabilities,hit_prob_over_at_line,In-score,No,Partial,Derived,Partial,Goblin/Demon at-line probability
Probabilities,leg_prob_used,In-score,No,Yes,Derived,Yes,Tickets prefer enrichment actionable prob
Probabilities,leg_prob_source,In-score,No,Partial,Derived,Partial,
Probabilities,pick_type_eligible,In-score,No,Yes,Derived,Yes,~36% ineligible 06-02 — product rules not missing data
Sport context — MLB,park_factor,Yes,No,No,No,No,In step7 rank; ignore until exported to FS
Sport context — MLB,weather_flag,Yes,No,No,No,No,In step7 rank; ignore until exported to FS
Sport context — MLB,handedness_split / pitcher_hand,Yes,Partial,No,No,No,Partial in pipeline; not on FS
Sport context — MLB,lineup_confirmed,Yes,Yes,Yes,Passthrough,No,Tier 3a closed 06-04 — step4b; 1178/1363 FS MLB
Sport context — MLB,batting_order_pos,Yes,Yes,Yes,Passthrough,No,Tier 3a closed 06-04 — step4b; 833/1363 FS MLB
Sport context — MLB,opp_starter_name / opp_starter_hand,Yes,Yes,Yes,Passthrough,No,Tier 3a closed 06-04 — step4b + step8
Sport context — MLB,top_of_order / bottom_of_order / line_moved,Yes,Yes,Yes,Passthrough,No,Tier 3a closed 06-04 — step4b wired run_pipeline
Sport context — MLB,opp_starter_era / whip,Yes,Yes,Partial,Passthrough,No,Exported step8; splits empty from step4b API (wire only)
Sport context — MLB,player_on_il / injury_status / injury_type,Yes,Yes,Yes,Passthrough,No,Tier 3b closed 06-04 — step4d ESPN; 9 IL / 23 status on FS MLB
Sport context — MLB,pitcher_scratched / opp_starter_on_il,Yes,Yes,Yes,Passthrough,No,Tier 3b closed 06-04 — step4d; opp_starter_on_il 0 on 06-04 slate
Sport context — MLB,days_since_injury_report,Yes,Yes,Yes,Passthrough,No,Tier 3b — DTD rows only; 14 fill FS MLB 06-04
Sport context — WNBA,intel_opp_vs_league_pct,Yes,In-score,Partial,No,No,Step7 rank; Intel columns on FS — verify fill before trusting
Sport context — WNBA,intel_l5_vs_season,Yes,In-score,Partial,No,No,Intel L5/L10/Season on FS
Sport context — WNBA,usage_boost / usage_vacuum / team_star_out,Yes,Yes,Yes,Passthrough,No,WNBA injury tiers closed 06-04 — step4d + step8 + FS (212 team_star_out)
Sport context — WNBA,key_facilitator_out / injury_boost_candidate,Yes,Yes,Yes,Passthrough,No,WNBA step4d trickle-up flags on FS
Sport context — NHL,line_combo,Yes,Passthrough,Partial,Passthrough,Partial,Closed 2025-26 season — CAR 70 dash-pairs in nst_line_combos_cache (pairings.php); NHL slate done
Sport context — NHL,line_combo_toi_pct,Yes,Passthrough,Partial,No,No,D-pairs only
Sport context — NHL,on_pp1_line / pp_unit_tier,Yes,Partial,Partial,No,No,In step7/8; weak FS export
Sport context — NHL,goalie_name / goalie_sv_pct,Yes,Partial,Partial,No,No,Goalie props; not all on FS
Sport context — Tennis,surface,Yes,Yes,Yes,Passthrough,Partial,Passthrough closed
Sport context — Tennis,hold_rate_surface,Partial,No,No,No,No,Recommended; not built
Sport context — Tennis,break_rate_surface,Partial,No,No,No,No,Recommended; not built
Sport context — Tennis,h2h_avg / h2h_games / h2h_over_rate,Partial,Partial,Yes,Passthrough,Partial,FS H2H Avg / GP / Over% / Last
Sport context — NBA / NBA1H / NBA1Q,intel + pace + minutes stack,Yes,Partial,Partial,Partial,Partial,NBA off 06-02 slate; NBA1H/Q active; NBA1H ticket pool AUC-gated
Sport context — NBA1H / NBA1Q,team_star_out / injury context,Yes,Yes,Partial,Passthrough,No,Closed 06-08 — step4d + step7 bool-fix + step8 INJURY_COLS keep list (NBA/NBA1H/NBA1Q)
Sport context — NHL,player_injury_status / player_on_il / player_dtd,Yes,Yes,Yes,Passthrough,No,Tier 3 NHL closed 06-04 — step4d ESPN sidecar + league cache fallback
Sport context — NHL,team_key_out / team_dtd_count,Yes,Yes,Yes,Passthrough,No,Team broadcast flags; rank_penalty<=-0.20 for key_out
Injury / rest / B2B,injury_flag / team_star_out,Yes,Yes,Yes,Passthrough,No,NBA Full Slate closed 06-08 (usage_vacuum 571/1233); WNBA+MLB closed 06-04; NHL step4d closed 06-04
Injury / rest / B2B,rest_days / opp_days_rest,Yes,Partial,Yes,Passthrough,No,Tier 1 closed 06-04 — passthrough Full Slate (2282/2925 days_rest)
Injury / rest / B2B,b2b_flag / opp_b2b_flag,Yes,Partial,Partial,Passthrough,No,On FS; verify sport-native fill per slate
Injury / rest / B2B,void_reason,Yes,Yes,Partial,No,No,WNBA void legs; on step8
Market odds / implied prob,price,No,No,No,No,No,Tier 4 closed — no PP list price; implied_prob via OddsAPI+Pinnacle covers read model
Market odds / implied prob,implied_prob,Partial,Yes,Yes,Derived,Partial,Tier 4 closed 06-05 — OddsAPI+Pinnacle (22.5% MLB/51.1% WNBA/57.3% NHL 06-04); PP goblin/demon cascade (pp_line_delta)
Market odds / implied prob,implied_prob_over,Partial,Yes,Partial,Passthrough,Partial,Tier 4 closed — OddsAPI step5 line_movement
Market odds / implied prob,implied_prob_under,Partial,Yes,Partial,Passthrough,Partial,Tier 4 closed — OddsAPI step5 line_movement
Market odds / implied prob,implied_prob_source,No,No,No,Derived,No,Tier 4 closed — pp_line_delta tags goblin/demon derived fills; in READ_SLATE_EXPORT_KEYS
Market odds / implied prob,implied_prob_book,No,No,No,No,No,Pending — validate Pinnacle fill on next OddsAPI quota reset ([LM] bookmaker distribution)
Market odds / implied prob,line_underdog,Partial,No,Yes,Passthrough,Partial,Tier 4 closed — PP/UD cross-book lines on FS; ActionNetwork/DK scrape skipped (structural unmappables)
Market odds / implied prob,line_draftkings,Partial,No,Yes,Passthrough,Partial,Tier 4 closed — DK cross-book line on FS; scrape skipped (structural unmappables)
Market odds / implied prob,cross_edge,No,No,Partial,Derived,Partial,Tier 4 closed — enrichment hit_prob_selected - implied_prob; recomputed after pp_line_delta fill
Market odds / implied prob,cross_edge_vs_pp,No,No,Yes,Passthrough,Partial,Tier 4 closed — FS Edge vs PP column; best-line cross-book on combined tickets
Calibration / confidence,prop_quality_score,In-score,No,Yes,Derived,Yes,
Calibration / confidence,data_completeness_score,In-score,No,Yes,Derived,Yes,
Calibration / confidence,confidence_score,In-score,No,Partial,Derived,Yes,Computed after read_fields_missing — audit over-reports; Tennis provisional when dist_std sparse
Calibration / confidence,calibration_bucket,In-score,No,Partial,Derived,Partial,MLB/WNBA/NHL ~88-91%; Tennis/NBA1H/Q excluded or 0%
Calibration / confidence,calibration_actual_hit_rate,No,No,Partial,Derived,Partial,When bucket assigned
Calibration / confidence,read_fields_missing,No,No,No,Derived,Partial,Audit artifact; fix ordering so confidence/calibration not flagged missing
Calibration / confidence,fetched_at,Partial,Partial,Yes,Passthrough,Partial,NHL step8+FS; MLB/WNBA step1 stamp — verify end-to-end on FS
Operational,prop_reliability / stratification gate,Yes,N/A,N/A,N/A,Yes,Ticket pool excludes bad prop×direction buckets
Operational,matchup_edge.json,Partial,N/A,N/A,N/A,N/A,Separate UI artifact; not per-leg read model
